#Easting Northing Elev. Mass/Area  [-4->-3) [-3->-2) [-2->-1) [-1->0) [0->1) [1->2) [2->3) [3->4) 
486790 1334190 350 1.6e-65  0 0 0 0 4.9e-223 1.5e-82 3.8e-30 1e+02 
486790 1335690 350 3.5e-62  0 0 0 0 9.4e-214 2.2e-78 1.3e-28 1e+02 
486790 1337190 350 6.3e-59  0 0 0 0 9.2e-205 2.5e-74 4.1e-27 1e+02 
486790 1338690 350 9.4e-56  0 0 0 0 4.6e-196 2.1e-70 1.1e-25 1e+02 
486790 1340190 350 1.2e-52  0 0 0 0 1.2e-187 1.3e-66 2.8e-24 1e+02 
486790 1341690 350 1.2e-49  0 0 0 0 1.5e-179 5.7e-63 6.4e-23 1e+02 
486790 1343190 350 1e-46  0 0 0 0 9.9e-172 1.9e-59 1.3e-21 1e+02 
486790 1344690 350 7.3e-44  0 0 0 0 3.4e-164 4.8e-56 2.5e-20 1e+02 
486790 1346190 350 4.3e-41  0 0 0 0 5.9e-157 9e-53 4.3e-19 1e+02 
486790 1347690 350 2e-38  0 0 0 0 5.4e-150 1.3e-49 6.7e-18 1e+02 
486790 1349190 350 7.9e-36  0 0 0 0 2.5e-143 1.3e-46 9.8e-17 1e+02 
486790 1350690 350 2.5e-33  0 0 0 0 6.2e-137 1.1e-43 1.3e-15 1e+02 
486790 1352190 350 6.4e-31  0 0 0 0 7.8e-131 6.4e-41 1.7e-14 1e+02 
486790 1353690 350 1.3e-28  0 0 0 2.7e-287 5.2e-125 2.9e-38 2e-13 1e+02 
486790 1355190 350 2.3e-26  0 0 0 6.3e-277 1.8e-119 1e-35 2.2e-12 1e+02 
486790 1356690 350 3.1e-24  0 0 0 4.2e-267 3.3e-114 2.7e-33 2.2e-11 1e+02 
486790 1358190 350 3.5e-22  0 0 0 8.1e-258 3.2e-109 5.3e-31 2.2e-10 1e+02 
486790 1359690 350 3.1e-20  0 0 0 4.6e-249 1.6e-104 8.1e-29 2e-09 1e+02 
486790 1361190 350 2.2e-18  0 0 0 7.5e-241 4.3e-100 9.5e-27 1.7e-08 1e+02 
486790 1362690 350 1.3e-16  0 0 0 3.6e-233 6e-96 8.5e-25 1.4e-07 1e+02 
486790 1364190 350 5.8e-15  0 0 0 5e-226 4.5e-92 5.9e-23 1.1e-06 1e+02 
486790 1365690 350 2.1e-13  0 0 0 2e-219 1.8e-88 3.1e-21 7.9e-06 1e+02 
486790 1367190 350 6.3e-12  0 0 0 2.4e-213 3.7e-85 1.2e-19 5.3e-05 1e+02 
486790 1368690 350 1.5e-10  0 0 0 8.2e-208 4e-82 3.8e-18 0.00033 1e+02 
486790 1370190 350 2.8e-09  0 0 0 8.3e-203 2.3e-79 9.1e-17 0.0019 1e+02 
486790 1371690 350 4.2e-08  0 0 0 2.4e-198 7.2e-77 1.6e-15 0.01 1e+02 
486790 1373190 350 5.2e-07  0 0 0 2.1e-194 1.2e-74 2.3e-14 0.05 1e+02 
486790 1374690 350 5.1e-06  0 0 0 5.1e-191 9.8e-73 2.4e-13 0.22 1e+02 
486790 1376190 350 4.2e-05  0 0 0 3.6e-188 4.3e-71 1.9e-12 0.84 99 
486790 1377690 350 0.00028  0 0 0 7e-186 9.7e-70 1.1e-11 2.8 97 
486790 1379190 350 0.0016  0 0 0 3.8e-184 1.1e-68 4.4e-11 7.7 92 
486790 1380690 350 0.0083  0 0 0 5.3e-183 5.6e-68 1.3e-10 17 83 
486790 1382190 350 0.038  0 0 0 1.9e-182 1.4e-67 2.4e-10 30 70 
486790 1383690 350 0.16  0 0 0 1.9e-182 1.6e-67 3.3e-10 43 57 
486790 1385190 350 0.52  0 0 0 5.2e-183 1e-67 3.3e-10 53 47 
486790 1386690 350 1.4  0 0 0 4.3e-184 3.4e-68 2.7e-10 59 41 
486790 1388190 350 2.6  0 0 0 1.1e-185 6.4e-69 1.7e-10 64 36 
486790 1389690 350 3.8  0 0 0 9.2e-188 7e-70 9.3e-11 66 34 
486790 1391190 350 4  0 0 0 2.4e-190 4.4e-71 4.2e-11 67 33 
486790 1392690 350 3.1  0 0 0 2e-193 1.6e-72 1.6e-11 67 33 
486790 1394190 350 1.7  0 0 0 5.4e-197 3.4e-74 5.1e-12 67 33 
486790 1395690 350 0.71  0 0 0 4.6e-201 4.1e-76 1.3e-12 66 34 
486790 1397190 350 0.22  0 0 0 1.2e-205 2.8e-78 2.9e-13 63 37 
486790 1398690 350 0.05  0 0 0 1e-210 1.1e-80 5.3e-14 61 39 
486790 1400190 350 0.0087  0 0 0 2.7e-216 2.5e-83 7.8e-15 57 43 
486790 1401690 350 0.0011  0 0 0 2.1e-222 3.1e-86 9.4e-16 53 47 
486790 1403190 350 0.00011  0 0 0 5.2e-229 2.1e-89 8.9e-17 47 53 
486790 1404690 350 8.9e-06  0 0 0 3.8e-236 7.8e-93 6.7e-18 41 59 
486790 1406190 350 5.5e-07  0 0 0 8.2e-244 1.6e-96 3.9e-19 34 66 
486790 1407690 350 2.8e-08  0 0 0 5.2e-252 1.6e-100 1.8e-20 26 74 
486790 1409190 350 1.1e-09  0 0 0 9.2e-261 8.8e-105 5.9e-22 19 81 
486790 1410690 350 3.9e-11  0 0 0 4.6e-270 2.4e-109 1.4e-23 12 88 
486790 1412190 350 1.1e-12  0 0 0 6.2e-280 3.2e-114 2.5e-25 6.6 93 
486790 1413690 350 3e-14  0 0 0 2.2e-290 2.1e-119 3.1e-27 3.2 97 
486790 1415190 350 6.8e-16  0 0 0 2.1e-301 6.6e-125 2.6e-29 1.3 99 
486790 1416690 350 1.4e-17  0 0 0 0 9.7e-131 1.5e-31 0.46 1e+02 
486790 1418190 350 2.6e-19  0 0 0 0 6.7e-137 6e-34 0.13 1e+02 
486790 1419690 350 4.4e-21  0 0 0 0 2.2e-143 1.6e-36 0.032 1e+02 
486790 1421190 350 6.6e-23  0 0 0 0 3.3e-150 3e-39 0.0066 1e+02 
486790 1422690 350 9e-25  0 0 0 0 2.4e-157 3.7e-42 0.0011 1e+02 
486790 1424190 350 1.1e-26  0 0 0 0 8.1e-165 3.2e-45 0.00016 1e+02 
486790 1425690 350 1.2e-28  0 0 0 0 1.3e-172 1.9e-48 2e-05 1e+02 
486790 1427190 350 1.1e-30  0 0 0 0 1e-180 7.9e-52 2e-06 1e+02 
486790 1428690 350 9.8e-33  0 0 0 0 3.7e-189 2.2e-55 1.8e-07 1e+02 
486790 1430190 350 7.4e-35  0 0 0 0 6.5e-198 4.4e-59 1.3e-08 1e+02 
486790 1431690 350 5e-37  0 0 0 0 5.4e-207 6e-63 8e-10 1e+02 
488290 1332690 350 2.1e-69  0 0 0 0 3.7e-225 2.2e-84 1e-31 1e+02 
488290 1334190 350 5.8e-66  0 0 0 0 1.3e-215 4.3e-80 3.6e-30 1e+02 
488290 1335690 350 1.3e-62  0 0 0 0 2.4e-206 6.1e-76 1.2e-28 1e+02 
488290 1337190 350 2.6e-59  0 0 0 0 2.2e-197 6.4e-72 3.4e-27 1e+02 
488290 1338690 350 4.2e-56  0 0 0 0 1e-188 5e-68 8.8e-26 1e+02 
488290 1340190 350 5.6e-53  0 0 0 0 2.4e-180 2.8e-64 2.1e-24 1e+02 
488290 1341690 350 6.2e-50  0 0 0 0 2.9e-172 1.2e-60 4.5e-23 1e+02 
488290 1343190 350 5.6e-47  0 0 0 0 1.8e-164 3.8e-57 8.7e-22 1e+02 
488290 1344690 350 4.2e-44  0 0 0 0 5.7e-157 8.9e-54 1.6e-20 1e+02 
488290 1346190 350 2.6e-41  0 0 0 0 9.4e-150 1.6e-50 2.6e-19 1e+02 
488290 1347690 350 1.3e-38  0 0 0 0 8e-143 2.1e-47 3.9e-18 1e+02 
488290 1349190 350 5.5e-36  0 0 0 0 3.5e-136 2.1e-44 5.5e-17 1e+02 
488290 1350690 350 1.8e-33  0 0 0 0 8.2e-130 1.6e-41 7.2e-16 1e+02 
