#Easting Northing Elev. Mass/Area  [-4->-3) [-3->-2) [-2->-1) [-1->0) [0->1) [1->2) [2->3) [3->4) 
483790 1395690 350 8.2e-24  0 0 0 0 8.3e-185 5.3e-95 9.8e-49 1e+02 
483790 1397190 350 3.7e-24  0 0 0 0 7e-188 1.4e-96 1.4e-49 1e+02 
483790 1398690 350 1.5e-24  0 0 0 0 2.8e-191 2.3e-98 1.7e-50 1e+02 
483790 1400190 350 5.8e-25  0 0 0 0 5e-195 2.6e-100 1.7e-51 1e+02 
483790 1401690 350 2e-25  0 0 0 0 4.2e-199 2e-102 1.3e-52 1e+02 
483790 1403190 350 6.4e-26  0 0 0 0 1.6e-203 1e-104 8.6e-54 1e+02 
483790 1404690 350 1.9e-26  0 0 0 0 2.9e-208 3.5e-107 4.5e-55 1e+02 
483790 1406190 350 5e-27  0 0 0 0 2.4e-213 8.1e-110 1.9e-56 1e+02 
483790 1407690 350 1.2e-27  0 0 0 0 9.2e-219 1.2e-112 6.5e-58 1e+02 
483790 1409190 350 2.7e-28  0 0 0 0 1.6e-224 1.3e-115 1.8e-59 1e+02 
483790 1410690 350 5.7e-29  0 0 0 0 1.3e-230 8.8e-119 4.1e-61 1e+02 
483790 1412190 350 1.1e-29  0 0 0 0 5e-237 4.1e-122 7.5e-63 1e+02 
483790 1413690 350 1.9e-30  0 0 0 0 8.6e-244 1.3e-125 1.1e-64 1e+02 
483790 1415190 350 3e-31  0 0 0 0 6.9e-251 2.6e-129 1.4e-66 1e+02 
483790 1416690 350 4.4e-32  0 0 0 0 2.6e-258 3.6e-133 1.3e-68 1e+02 
483790 1418190 350 5.9e-33  0 0 0 0 4.4e-266 3.3e-137 1.1e-70 1e+02 
483790 1419690 350 7.2e-34  0 0 0 0 3.5e-274 2.1e-141 6.9e-73 1e+02 
483790 1421190 350 8.2e-35  0 0 0 0 1.3e-282 8.5e-146 3.6e-75 1e+02 
483790 1422690 350 8.5e-36  0 0 0 0 0 2.4e-150 1.5e-77 1e+02 
483790 1424190 350 8.1e-37  0 0 0 0 0 4.4e-155 5.3e-80 1e+02 
483790 1425690 350 7.1e-38  0 0 0 0 0 5.5e-160 1.5e-82 1e+02 
483790 1427190 350 5.7e-39  0 0 0 0 0 4.6e-165 3.4e-85 1e+02 
483790 1428690 350 4.2e-40  0 0 0 0 0 2.5e-170 6.3e-88 1e+02 
483790 1430190 350 2.9e-41  0 0 0 0 0 9.4e-176 9.4e-91 1e+02 
483790 1431690 350 1.8e-42  0 0 0 0 0 2.4e-181 1.1e-93 1e+02 
485290 1332690 350 3.8e-42  0 0 0 0 0 1.2e-179 8.9e-93 1e+02 
485290 1334190 350 6.5e-41  0 0 0 0 0 6.4e-174 8.4e-90 1e+02 
485290 1335690 350 1e-39  0 0 0 0 0 2.2e-168 6.5e-87 1e+02 
485290 1337190 350 1.5e-38  0 0 0 0 0 5.3e-163 4e-84 1e+02 
485290 1338690 350 1.9e-37  0 0 0 0 0 8.2e-158 2e-81 1e+02 
485290 1340190 350 2.4e-36  0 0 0 0 0 8.7e-153 8.3e-79 1e+02 
485290 1341690 350 2.6e-35  0 0 0 0 9.4e-287 6.1e-148 2.8e-76 1e+02 
485290 1343190 350 2.7e-34  0 0 0 0 9.2e-278 2.9e-143 7.4e-74 1e+02 
485290 1344690 350 2.5e-33  0 0 0 0 4.2e-269 9e-139 1.6e-71 1e+02 
485290 1346190 350 2.2e-32  0 0 0 0 8.9e-261 1.9e-134 2.9e-69 1e+02 
485290 1347690 350 1.7e-31  0 0 0 0 8.7e-253 2.7e-130 4.2e-67 1e+02 
485290 1349190 350 1.3e-30  0 0 0 0 3.9e-245 2.5e-126 4.9e-65 1e+02 
485290 1350690 350 8.3e-30  0 0 0 0 8.2e-238 1.6e-122 4.6e-63 1e+02 
485290 1352190 350 5.1e-29  0 0 0 0 7.9e-231 6.7e-119 3.6e-61 1e+02 
485290 1353690 350 2.9e-28  0 0 0 0 3.5e-224 1.9e-115 2.2e-59 1e+02 
485290 1355190 350 1.5e-27  0 0 0 0 7.2e-218 3.6e-112 1.1e-57 1e+02 
485290 1356690 350 6.9e-27  0 0 0 0 6.8e-212 4.6e-109 4.7e-56 1e+02 
485290 1358190 350 3e-26  0 0 0 0 3e-206 3.9e-106 1.6e-54 1e+02 
485290 1359690 350 1.2e-25  0 0 0 0 6e-201 2.2e-103 4.2e-53 1e+02 
485290 1361190 350 4.4e-25  0 0 0 0 5.6e-196 8.5e-101 9.3e-52 1e+02 
485290 1362690 350 1.5e-24  0 0 0 0 2.4e-191 2.2e-98 1.7e-50 1e+02 
485290 1364190 350 4.5e-24  0 0 0 0 4.9e-187 3.7e-96 2.4e-49 1e+02 
